'Oumuamua	奥陌陌
shear viscosity	剪切黏性
shear viscosity coefficient	剪切黏性系数
shear-dominated encounter	剪切主导的交会
shearing	剪切
shearing effect	剪切效应
shearing interferometer wavefront sensor	剪切干涉仪波前传感器
sheath	鞘
shell burning	壳层燃烧
shell crossing	壳层交叉; 壳层穿越
shell galaxy	壳状星系
shell remnant	壳状遗迹
shell source	壳源
shell star	气壳星
shell structure	壳层结构
shell supernova remnant	壳状超新星遗迹
shell-source model	壳源模型
shemu	埃及古历夏季
shepherd moon	牧羊犬卫星
shepherd satellite	牧羊犬卫星
shepherding satellite	牧羊犬卫星
shergottite	辉熔长石无球粒陨石
shield volcano	盾状火山
shielding effect	屏蔽效应
shielding variable	屏蔽变星
shift theorem	移位定理
shift vector	位移矢量
shimmer	闪光
shock breakout	激波暴，激波突破
shock front	激波波前
shock heating	激波加热
shock temperature	激波温度
shock wave	激波
shock wave-front	激波波前
shock-wave ionization	激波电离
shooting star	流星
short baseline interferometer	缩写：SBI。短基线干涉仪
short baseline interferometry	缩写：SBI。短基线干涉测量
short burst	短期爆发
short count	短期积日
short distance scale	短距离尺度
short duration burst	短期爆发
short wave branch	短波支
short-arc method	短弧法
short-axis tube orbit	短轴管形轨道
short-lived star	短寿命星
short-period Cepheid	短周期造父变星
short-period comet	短周期彗星
short-period perturbation	短周期摄动
short-period term	短周期项
short-period variable	短周期变星
short-range field	短程场
short-range force	短程力
short-term stability	短期稳定度
short-wave fade-out	缩写：SWF。短波衰退
short-wavelength radiation	短波辐射
shot noise	散粒噪声
shower meteor	属群流星
shower radiant	流星雨辐射点
shut-off	断路
shutter blade	快门叶片
shutter correction	快门改正
shutter sweep correction	快门扫掠改正
shuttle	航天飞机
siddhanta	印度历数书
sidelit view	侧照视像
sidelobe	旁瓣
sidelobe level	旁瓣电平
sidelobe subtraction	减旁瓣法
sidereal astronomy	恒星天文
sidereal chronometer	恒星时计
sidereal clock	恒星钟
sidereal day	恒星日
sidereal drive	转仪钟
sidereal driving clock	转仪钟
sidereal hour	恒星小时
sidereal hour-angle	恒星时角
sidereal midnight	恒星时子夜
sidereal minute	恒星时分
sidereal month	恒星月
sidereal noon	恒星时正午
sidereal period	恒星周期
sidereal rate	恒星周天转速
sidereal revolution	恒星周
sidereal second	恒星时秒
sidereal time	缩写：ST。恒星时
sidereal universe	恒星世界
sidereal year	恒星年
siderite	铁陨星; 铁陨石; 陨铁
siderograph	恒星时记时器
siderolite	石铁陨星
siderophyre	古铜鳞英石铁陨石
siderostat	定星镜
sight-line velocity	视向速度
sighting	照准
sighting telescope	瞄准望远镜
sighting-tube	窥管; 望筒
sighting-tube ring	四游仪
sign	宫
signal	信号; 讯号
signal analysis	信号分析
signal band	信号频带
signal covariance matrix	信号协方差矩阵
signal detection	信号检测
signal enhancement	信号增强
signal lag	信号滞后
signal processing	信号处理
signal source	信号源
signal strength	信号强度
signal to noise ratio	缩写：SNR; S/N。信噪比
signal-noise ratio	缩写：SNR; S/N。信噪比
signal/noise ratio	缩写：SNR; S/N。信噪比
significant figure	有效数字
signs of zodiac	黄道十二宫
silica	硅土
silicaceous asteroid	硅质小行星
silicate	硅酸盐
silicon	缩写：Si。硅
silicon burning	硅燃烧
silicon diode array	硅二极管阵
silicon drift detector	缩写：SDD。硅漂移探测器
silicon intensifier target	缩写：SIT。硅增强靶
silicon intensifying target	缩写：SIT。硅增强靶
silicon monosulfide	一硫化硅
silicon monoxide	一氧化硅
silicon pore optics	缩写：SPO。硅孔光学系统
silicon star	硅星
silicon strip detector	缩写：SSD。硅条探测器
silver	缩写：Ag。银
silver coating	镀银
silvering	镀银
similarity	相似性
similarity model	相似模型
similarity transformation	相似变换
simple burst	简单暴
simple ecliptic armilary	黄道经纬仪
simple equatorial armilary	赤道经纬仪
simple harmonic motion	缩写：SHM。简谐运动
simple interferometer	相加干涉仪
simple pendulum	单摆
simple stellar population	缩写：SSP。简单恒星星族
simultaneity	同时性
simultaneous altitude	同时高度; 同时地平纬度
simultaneous auroral multi-balloon observation	缩写：SAMBO。多气球同步极光观测
simultaneous collision	同时碰撞
simultaneous differential imager	同步差分成像仪
simultaneous observation	同时观测; 同步观测
sine parallax	正弦视差
sine wave	正弦波
single antenna	单天线
single stellar population	单一星族
single-aperture radio telescope	单孔径射电望远镜
single-arc method	单弧法
single-beam polarimeter	单光束偏振计
single-cavity maser amplifier	单腔量子放大器
single-channel photometer	单通道光度计
single-channel tunable spectrometer	单通道调谐频谱仪
single-dish radio telescope	单碟射电望远镜
single-lined binary	缩写：SB 1。单谱分光双星; 单谱双星
single-lined spectroscopic binary	缩写：SB 1。单谱分光双星; 单谱双星
single-prism spectrograph	单棱镜摄谱仪
single-prism spectrometer	单棱镜分光仪
single-prism spectroscope	单棱镜分光镜
single-sideband receiver	单边带接收机
single-spectrum binary	缩写：SB 1。单谱分光双星; 单谱双星
single-station method	单站法
single-station observation	单站观测
singlet	单谱线; 单一态; 单透镜
singular coordinate	奇异坐标
singular isothermal sphere	奇异等温球
singular periodic solution	奇周期解
singular perturbation system	奇异摄动系统
singular point	奇点
singular solution	奇解; 奇异解
singular state	奇态
singular value decomposition	缩写：SVD。奇异值分解
singularity	1、奇异性; 2、奇点
singularity of the universe	宇宙奇点
sinuous rille	弯曲沟纹
sinus	湾
sinusoid	正弦曲线
sinusoidal projection	正弦投影
sinusoidal wave	正弦波
site protection	台址保护
site selection	选址
site telescope	选址望远镜
site testing	选址
six-color photoelectric photometry	六色光电测光
six-color photometry	六色测光
six-color system	1、六色测光系统; 2、六色测光系统
skewness	欹斜度
skin effect	趋肤效应; 集肤效应
sky atlas	天图
sky background	天空背景
sky background noise	天空背景噪声
sky background radiation	天空背景辐射
sky brightness	天空亮度
sky brightness temperature	天空亮度温度
sky clock	天钟
sky compass	天罗盘
sky factor	天光因子
sky fixed component	跟踪天空分量
sky flat	天光平场
sky fog	天雾
sky map	天图
sky measuring scale	量天尺
sky noise	天空噪声
sky patrol	巡天观测
sky phenomena	天象
sky radiation	星空辐射
sky spectrum	天光光谱
sky survey	巡天观测
sky-horn switching	天空喇叭开关
sky-light	天光
sky-wave	天波
slab structure	板块结构
slant range	斜距
slat collimator	条形准直器
slave clock	子钟
slepton	标轻子
slim disc	扁盘
slipping	失次
slit	光缝
slit image	光缝像
slit jaw	光缝面
slit spectrogram	有缝光谱
slit spectrograph	有缝摄谱仪
slit spectroscopy	有缝分光
slit spectrum	有缝光谱
slit-jaw observation	光缝面观测
slitless spectrogram	无缝光谱
slitless spectrograph	无缝摄谱仪
slitless spectroscopy	无缝分光
slitless spectrum	无缝光谱
slow angular variable	慢角变量
slow development	慢速显影
slow magnetosonic-wave speed	缩写：SMS。慢磁声波速
slow motion	慢动; 迟行
slow neutron capture process	缩写：s-process。慢过程; s过程
slow nova	慢新星
slow plate	低灵敏度底片
slow pulsar	慢脉冲星
slow pulsator	慢脉动星
slow rotator	慢自转星
slow supernova	慢超新星
slow wave	慢波
slow-drift burst	慢漂暴
slow-mode wave	慢波
slow-roll approximation	慢滚近似
slow-rolling approximation	慢滚近似
slow-rolling phase	慢滚阶段
slow-spinning black hole	慢自旋黑洞
slowing factor	慢变因子
slowing-down time	减速时间
slowly varying component	缩写：SVC。缓变分量
slowly varying potential	缓变势
small Solar System body	太阳系小天体
small circle	小圆
small cycle	小纪
small scale anisotropy	小尺度各向异性
small scale inhomogeneity	小尺度不均匀性
small-angle anisotropy	小角度各向异性
small-diameter source	小角径源
small-scale damping	小尺度衰减
smearing effect	涂污效应
smearing function	涂污函数
smearing-out image	亏损星像
smoke train	冒烟余迹
smoked glass	熏烟玻璃
smoothed distribution	修匀分布
smoothed-particle hydrodynamics	缩写：SPH。平滑质点流体动力学
smoothing	平滑; 修匀
smoothing effect	平滑效应
smoothing kernel	平滑核
snapshot	快照
sneutrino	标量中微子
snooper satellite	间谍卫星
snow-plow model	雪耙模型
snowplow phase	雪耙相
sodium	缩写：Na。钠
sodium guide star	钠引导星
sodium vapour lamp	钠蒸气灯
sodium-iodide detector	缩写：NaI detector。碘化钠探测器
soft X-ray background	软X射线背景
soft X-ray object	软X射线天体
soft X-ray repeater	缩写：SXR。软X射线再现源
soft X-ray source	软X射线源
soft X-ray transient	缩写：SXT。软X射线暂现源
soft binary	软双星
soft gamma repeater	缩写：SGR。软γ射线复现源
soft phase	缓变阶段
soft supersymmetry breaking	软超对称破缺
soft ware	软件
soft γ-ray burst repeater	软γ射线暴再现源
soft γ-ray repeater	缩写：SGR。软γ射线复现源
soft γ-ray source	软γ射线源
soft γ-ray transient	缩写：SGT。软γ射线暂现源
soften gravity	软化引力
softened point-mass potential	软化点质量势
softening length	软化长度
softening parameter	软化参数
software radio telescope	软件式射电望远镜
sol	火星日
solar X-ray burst	太阳X射线暴
solar X-ray emission	太阳X射线发射
solar X-ray imaging	太阳X射线成像
solar X-ray imaging telescope	太阳X射线成像望远镜
solar X-ray irradiance	太阳X射线辐照度
solar X-ray radiation	太阳X射线辐射
solar active region	太阳活动区
