1/f 噪声	1/f noise
科尔许特环形山	Kohlschütter crater
科尼希目镜	Konig eyepiece
科斯京斯基效应	Kostinsky effect
科斯京斯基环形山	Kostinskiy crater
科斯特-克勒尼希跃迁	Coster-Kronig transition
科普兰七重星系	Copeland's Septet
科普莱特斯深谷	Coprates Chasma
科曼蒂关系	Kormendy relation
科朗尼斯族	Koronis family
科朗尼斯族, 小行星	Koronis family, asteroids
科罗廖夫环形山	Korolev crater
科罗系外行星探测器	全称：Convection rotation and planetary transits。缩写：CoRoT
科胡特克彗星	Kohoutek comet
科莫戈洛夫湍流	Kolmogorov turbulence
科莫戈洛夫频谱	Kolmogorov spectrum
科赫环形山	Koch crater
科迪勒拉山脉	Montes Cordillera
科里奥利力	Coriolis force
科里奥利效应	Coriolis effect
科里奥利环形山	Coriolis crater
科里奥利畸变	Coriolis distortion
科里奥利耦合	Coriolis coupling
科里环形山	Cori crater
科隆博环缝	Colombo Gap
科马斯-索拉彗星	Comas Solá Comet
科马罗夫环形山	Komarov crater
秒	second
秒定义咨询委员会	全称：Comité Consultatif pour la Definition de la Seconde。缩写：CCDS
秒差距	全称：parallax second。缩写：pc; parsec
秒拍	second beat
秒控制	second control
秒摆	second pendulum
秘密卫星	unannounced satellite
秤动偏异	libration deviation
秤动效应	libration effect
秤动椭圆	libration ellipse
秤动点	libration point
秤动轨道	libration orbit
秤漏	steel-yard clepsydra
积分光度计	integrating photometer
积分号式翘曲	integral sign warp
积分号星系	Integral Sign galaxy
积分多普勒	integrated Doppler
积分截面	integrated cross-section
积分散射	integral scattering
积分时间	integration time
积分曲线	integral curve
积分视场单元	全称：integral field unit。缩写：IFU
积尸	Gorgonea Secunda
积尸增三	1、Meleph; 2、Praesepe
积尺	zij
积日	1、ahargana; 2、day of year
积累效应	build-up effect
移位定理	shift theorem
移动平均	running mean
移动星团	moving cluster
移动星团视差	moving cluster parallax
移动星团辐射点	radiant of moving cluster
移动星群	moving group
移动部件	moving element
移动黄道	movable ecliptic
稀化因子	dilution factor
稀化天线阵	dilute array
稀化辐射	diluted radiation
稀土元素	rare-earth element
稀有气体	noble gas; rare gas
稀疏孔径	sparse aperture; dilute aperture
稀疏孔径掩模法	sparse aperture masking
稀疏星系群	loose group
稀薄等离子体	rarefied plasma
程差	path difference
程控天文台	robotic observatory
程控望远镜	1、computerized telescope; 2、robotic telescope
程控自主天文台	全称：Robotic Autonomous Observatory。缩写：RAO
程茂兰	Chengmaolan
程长	path length
程长改正	path length correction
程长计数器	range counter
程长速率	range rate
稠密云	dense cloud
稠密云核	dense core
稠密星团	dense star cluster
稠密星际尘云	全称：dense interstellar dust cloud。缩写：DIDC
稠密物质	dense matter
稠密等离子体	dense plasma
稳健估计	robust estimation
稳定势	stationary potential
稳定化	stabilization
稳定区域	stability domian; stable region
稳定场	steady field
稳定坐标	stable coordinate
稳定平衡	stable equilibrium
稳定度	steadiness
稳定态	stable state
稳定性	stability
稳定性判据	stability criterion
稳定性概率	stability probability
稳定成团性	stable clustering
稳定日珥	stable prominence
稳定日珥型耀斑	stationary prominence flare
稳定星	stable star; stationary star
稳定气壳	stationary shell
稳定约束	scleronomic constraint
稳定轨道	stable orbit
稳定运动	steady motion
稳定速度	steady velocity
稳态	stationarity
稳态旋涡图案	steady spiral pattern
稳态模型	stationary model
稳态黑子	steady sunspot
稳恒态	steady state
稳恒态学说	steady-state theory
稳恒态宇宙学	steady-state cosmology
稳恒态模型	steady-state model
稳相位法	stationary phase method
穆哈诺夫-佐佐木方程	Mukhanov-Sasaki equation
穆图什环形山	Mutus crater
穆尔密度轮廓	Moore density profile
穆尔环形山	Moore crater
穆尼阁	Nikolaus Smogulecki
穆斯堡尔效应	Moessbauer effect
穆查丘斯罗克天文台	1、Roque de los Muchachos Observatory; 2、全称：Observatorio del Roque de los Muchachos。缩写：ORM
穆罕默德纪元	Mohammedan era
穆谢环形山	Mouchez crater
穹天论	Theory of Vaulting Heavens; Discourse on the Vastness of the Heavens
空回	backlash
空固坐标系	space-fixed coordinate system
空场	blank field
空基干涉仪	space-based interferometer
空基望远镜	space-based telescope
空基观测	space-based observation
空壳层	vacant shell
空天飞机	space-air vehicle
空模型	empty model
空气帽	air cap
空气污染	air pollution
空腔	cavity
空腔计时	cavity clocking
空间亮度	spatial brightness
空间分布	distribution in space; spatial distribution; space distribution
空间分辨率	spatial resolution
空间动力学	space dynamics
空间反演	space inversion
空间变源监视器	全称：Space Variable Objects Monitor。缩写：SVOM
空间吸收	space absorption
空间地球动力学	space geodynamics
空间域	spatial domain
空间基准导航	navigation by space reference
空间大地测量	space geodesy
空间天体测量学	space astrometry
空间天体物理	space astrophysics
空间天文台	space observatory
空间天文学	space astronomy
空间天气	1、Space Weather; 2、space weather
空间天气预报中心	Space Weather Prediction Center
空间太阳望远镜	全称：Space Solar Telescope。缩写：SST
空间实验室	Spacelab
空间密度	space density
空间密度轮廓	space density profile
空间射电天体测量	space radio astrometry
空间射电天文	space radio astronomy
空间应变	spatial strain
空间开放度规	spatially open metric
空间弥散	spatial dispersion
空间技术	space technology
空间探测	space exploration
空间探测器	space probe
空间方位	dimensional orientation
空间时代	space age
空间曲率	curvature of space
空间望远镜	space telescope; free-flying telescope
空间望远镜研究所	全称：Space Telescope Science Institute。缩写：STScI
空间望远镜科学数据分析系统	全称：Space Telescope Science Data Analysis System。缩写：STSDAS
空间极迹	herpolhode
空间测量学	spatiography
空间滤波	spatial filtering
空间滤波器	spatial filter
空间环境	space environment
空间甚长基线干涉测量天文台计划	全称：VLBI Space Observatory Programme。缩写：VSOP
空间生物学	space biology
空间电荷	space charge
空间电荷波	space charge wave
空间相关函数	spatial correlation function
空间相干性	spatial coherence
空间研究	space research
空间研究进展	Advances In Space Research
空间科学	space science
空间科学评论	Space Science Reviews
空间站	space station
空间粒子	space particle
空间红化	space reddening
空间红外望远镜设备	全称：Space Infrared Telescope Facility。缩写：SIRTF
空间结构	spatial structure
空间聚度	space concentration
空间观测	space observation
空间谱	spatial spectrum
空间质量分层	spatial mass segregation
空间运动	1、space motion; 2、spatial motion
空间速度	1、space velocity; 2、spatial velocity
空间量子化	space quantization
空间闭合度规	spatially closed metric
空间频率	spatial frequency
空间频率特征	spatial frequency characteristic
空间飞船运载仪器	space probe instrument
穿透交会	penetrating encounter
突变理论	catastrophe theory
突变面	surface of discontinuity
突异	disparation brusque
突然产生	sudden production
窄共振	narrow resonance
窄带光度计	narrow-band photometer
窄带宽度	narrow-band width
窄带测光	narrow-band photometry
窄带滤波器	narrow-band filter
窄束辐射	narrow-beam radiation
窄波段星等	narrow-band magnitude
窄波段滤光片	narrow-band filter
窄线光谱	narrow-line spectrum
窄线区	全称：narrow-line region。缩写：NLR
窄线宽	narrow linewidth
窄线射电星系	全称：narrow-line radio galaxy。缩写：NLRG
窗函数	window function
窜入星	interloper
窥几	observing table
窥管	sighting-tube; dioptra
立体角	solid angle; spatial angle
立冬	Beginning of Winter
立夏	Beginning of Summer
立方千米中微子望远镜	全称：Cubic Kilometre Neutrino Telescope。缩写：KM3NeT
立方秒差距	cubic parsec
立春	Beginning of Spring
立秋	Beginning of Autumn
立运仪	vertical revolving instrument; vertical revolving circle
竖丝	vertical thread
竖墙	straight wall
竖直共振	vertical resonance
竖直摄谱仪	vertical spectrograph
竖直摆	vertical pendulum
竖直线	vertical line
竖直视差螺旋	vertical parallax screw
竖直面	vertical plane
竖轴	vertical axis
站心位置	topocentric place
站心光行差	topocentric aberration
站心坐标	topocentric coordinate
站心天平动	topocentric libration
站心天顶距	topocentric zenith distance
站心秤动	topocentric libration
站集波束	station beam
章动	nutation
章动周期	nutation period
章动常数	nutation constant; nutational constant; constant of nutation
章动椭圆	nutation ellipse; nutational ellipse
端向	end-on
端向天体	end-on object
端射天线阵	end-fire array
笔尖误差	pen error
笔束	pencil beam
笔束天线	pencil-beam antenna
笔束巡天	1、pencil beam survey; 2、pencil-beam survey
笛卡儿坐标	Cartesian coordinate
笛卡儿环形山	Descartes crater
符合探测器	coincidence detector
第3剑桥射电源表	全称：Third Cambridge Catalogue of Radio Sources。缩写：3C catalogue
第4剑桥巡天星表	全称：Fourth Cambridge Survey catalogue。缩写：4C catalogue
第6剑桥射电源巡天	全称：Sixth Cambridge Survey of radio sources。缩写：6C survey
第一代天体	first objects
第一代恒星	first stars
第一代星系	first galaxies
第一切	first contact
第一宇宙速度	first cosmic velocity
第一拉格朗日点	first Lagrangian point
第一类单调宇宙模型	monotonic model of the first kind
第一类碰撞	collision of the first kind
第一级光谱	primary spectrum
第三光源	third light
第三切	third contact
第三基本星表	全称：Dritter Fundamental Katalog。缩写：FK3
第三宇宙速度	third cosmic velocity
第三积分	third integral
第三辐射带	third radiation belt
第二切	second contact
第二宇宙速度	second cosmic velocity
第二次中天	second transit
第二类单调宇宙模型	monotonic model of the second kind
第二类碰撞	collision of the second kind
第五基本星表	全称：Fuenfter Fundamental Katalog。缩写：FK5
第四基本星表	全称：Vierter Fundamental Katalog。缩写：FK4
第四宇宙速度	fourth cosmic velocity
第谷体系	Tychonic system
第谷新星	Tycho's nova
第谷星	Tycho's star
第谷星表	Tycho Catalogue
第谷环形山	Tycho crater
第谷超新星	Tycho's supernova
等亮度光度计	equal brightness photometer
等亮度线	brightness contour
等位圈	circle of equal altitudes
等位面	equipotential surface
等值厚度	equivalent thickness
等值宽度	equivalent width; equivalent breadth
等值摆	equivalent pendulum
等值焦点	equivalent focus
等值焦距	equivalent focal distance; equivalent focal length
等值线	isopleth
等倾线	isoclinal line; isocline
等偏线	isogonic line
等光度半径	isophotal radius
等光度图	isophotometric atlas
等光度测量	isophotometry
等光度计	isophotometer
等光波长	isophotal wavelength
等分线	bisector
等力线	isodynamic line; syndyname
等势面	equipotential surface
等压线	isopiestic; isostatics; isobar
等反差光度计	equality-of-contrast photometer
等周期定律	law of isochronism
等周期轨道	isoperiodic orbit
等密度测量	equidensitometry
等密度线	equidensite
等密线	isopycnal
等密面	isopycnic
等强干涉束有效数	finesse
等效原理	equivalence principle; equivalent principle; principle of equivalence
等效天线	equivalent antenna
等效温度	equivalent temperature
等效面积	equivalent collecting area
等时势	isochrone potential
等时对应	isochronous correspondence
等时性	isochronism
等时线	isochronal line; synchrone
等时线法年龄	isochron age
等晕斑角	isoplanatic path angle
等晕角	isoplanatic angle
等曲率	isocurvature
等曲率冷暗物质模型	isocurvature CDM model
等曲率初条件	isocurvature initial condition
等曲率扰动	isocurvature perturbation
等曲率模型	isocurvature model
等曲率涨落	isocurvature fluctuation
等温区	isothermal region
等温声速	isothermal sound speed
等温大气	isothermal atmosphere
等温平衡	isothermal equilibrium
等温扰动	isothermal perturbations
等温核	isothermal core
等温气体	isothermal gas
等温气体球	isothermal gas sphere
等温片	isothermal sheet
等温球	isothermal sphere
等温理论	isothermal theory
等温等离子体	isothermal plasma
等温线	isotherm
等温跳变	isothermal jump
等温过程	isothermal process
等潮图	cotidal chart; cotidal map
