1/f 噪声	1/f noise
γ射线计数器	γ-ray counter
γ射线证认	γ-ray identification
γ射线谱	γ-ray spectrum
γ射线谱线	γ-ray line; γ-ray spectral line
γ射线谱线天文学	γ-ray line astronomy
γ射线谱线辐射	γ-ray line emission
γ射线频谱计	γ-ray spectrometer
γ暴余辉	γ-ray burst afterglow
γ暴光变曲线	γ-ray burst light curve
γ暴光学暂现源	γ-ray burst optical transient
γ暴前身天体	γ-ray burst progenitor
γ暴型	γ-ray burst type
γ暴能量	γ-ray burst energy
γ暴集群灭绝	γ-ray burst mass extinction
γ暴预警望远镜	全称：γ-ray Burst Alert Telescope。缩写：BAT
γ辐射	γ radiation
γ辐射源	γ-radiation source
γ辐射计数器	γ-radiation counter
θ介子	θ-meson
θ星系	θ galaxy
κ介子	Kaon
κ机制	1、Kappa mechanism; 2、κ mechanism
